English,German
I like to read books.,Ich lese gerne Bücher.
She enjoys walking her dog.,Sie geht gerne mit ihrem Hund spazieren.
They are cooking dinner now.,Sie kochen jetzt Abendessen.
We love watching the stars.,"Wir lieben es, die Sterne zu beobachten."
He drinks coffee every morning.,Er trinkt jeden Morgen Kaffee.
The cat is sleeping peacefully.,Die Katze schläft friedlich.
We are visiting the museum.,Wir besuchen das Museum.
She is learning German quickly.,Sie lernt schnell Deutsch.
The kids are playing outside.,Die Kinder spielen draußen.
He works in a big office.,Er arbeitet in einem großen Büro.
I want to buy new shoes.,Ich möchte neue Schuhe kaufen.
She sings beautifully every night.,Sie singt jede Nacht wunderschön.
They travel to different countries.,Sie reisen in verschiedene Länder.
He enjoys reading science fiction.,Er liest gerne Science-Fiction.
We need to finish the project.,Wir müssen das Projekt abschließen.
The baby is crying loudly now.,Das Baby weint jetzt laut.
I like swimming in the ocean.,Ich schwimme gerne im Ozean.
She cooks delicious meals daily.,Sie kocht täglich leckere Mahlzeiten.
They are building a new house.,Sie bauen ein neues Haus.
He exercises every morning early.,Er trainiert jeden Morgen früh.
The sun is shining brightly today.,Die Sonne scheint heute hell.
We are going to the beach.,Wir gehen zum Strand.
She enjoys painting beautiful landscapes.,Sie malt gerne schöne Landschaften.
The dog is barking loudly now.,Der Hund bellt jetzt laut.
I love listening to music.,Ich höre gerne Musik.
They are studying for exams.,Sie lernen für Prüfungen.
He drives a red sports car.,Er fährt ein rotes Sportauto.
We are planning a vacation.,Wir planen einen Urlaub.
The children are very excited.,Die Kinder sind sehr aufgeregt.
She enjoys gardening every weekend.,Sie gärtnert jedes Wochenende gerne.
He is fixing the broken bike.,Er repariert das kaputte Fahrrad.
I want to learn Spanish.,Ich möchte Spanisch lernen.
The baby is sleeping peacefully.,Das Baby schläft friedlich.
They are having a party tonight.,Sie haben heute Abend eine Party.
She likes playing the piano.,Sie spielt gerne Klavier.
He is reading a new book.,Er liest ein neues Buch.
We enjoy hiking in the mountains.,Wir wandern gerne in den Bergen.
The dog is very friendly.,Der Hund ist sehr freundlich.
She is baking a chocolate cake.,Sie backt einen Schokoladenkuchen.
I am learning to play guitar.,Ich lerne Gitarre zu spielen.
They are going to the concert.,Sie gehen zum Konzert.
He enjoys watching horror movies.,Er sieht gerne Horrorfilme.
The kids are drawing pictures.,Die Kinder malen Bilder.
We are going shopping tomorrow.,Wir gehen morgen einkaufen.
She is wearing a red dress.,Sie trägt ein rotes Kleid.
The car is very expensive.,Das Auto ist sehr teuer.
He is writing a new novel.,Er schreibt einen neuen Roman.
I love drinking hot chocolate.,Ich trinke gerne heiße Schokolade.
They are building a snowman.,Sie bauen einen Schneemann.
She likes dancing in the rain.,Sie tanzt gerne im Regen.
The children are very happy.,Die Kinder sind sehr glücklich.
He is working on his laptop.,Er arbeitet an seinem Laptop.
We enjoy eating Italian food.,Wir essen gerne italienisches Essen.
The baby is crawling very fast.,Das Baby krabbelt sehr schnell.
She is reading a fashion magazine.,Sie liest ein Modemagazin.
He loves going to the gym.,Er geht gerne ins Fitnessstudio.
They are watching a football game.,Sie sehen ein Fußballspiel.
I like painting with watercolors.,Ich male gerne mit Aquarellfarben.
The dog is chasing the cat.,Der Hund jagt die Katze.
She is knitting a woolen scarf.,Sie strickt einen Wollschal.
He is cooking dinner for us.,Er kocht Abendessen für uns.
We are visiting our grandparents.,Wir besuchen unsere Großeltern.
The children are playing together.,Die Kinder spielen zusammen.
She is learning to play chess.,Sie lernt Schach zu spielen.
He is working late tonight.,Er arbeitet heute Abend spät.
I am reading a mystery novel.,Ich lese einen Kriminalroman.
They are watching a new movie.,Sie sehen einen neuen Film.
The baby is very curious.,Das Baby ist sehr neugierig.
She is making a birthday cake.,Sie macht einen Geburtstagskuchen.
He enjoys playing video games.,Er spielt gerne Videospiele.
We are planning a surprise party.,Wir planen eine Überraschungsparty.
The cat is chasing a mouse.,Die Katze jagt eine Maus.
She loves going to the theater.,Sie geht gerne ins Theater.
He is fixing his old car.,Er repariert sein altes Auto.
The children are very energetic.,Die Kinder sind sehr energiegeladen.
She is studying for her exams.,Sie lernt für ihre Prüfungen.
He is reading a newspaper now.,Er liest jetzt eine Zeitung.
We are having lunch together.,Wir essen zusammen zu Mittag.
The dog is very obedient.,Der Hund ist sehr gehorsam.
She is writing a love letter.,Sie schreibt einen Liebesbrief.
He is painting the house walls.,Er streicht die Hauswände.
The kids are very creative.,Die Kinder sind sehr kreativ.
She is baking cookies today.,Sie backt heute Kekse.
He loves driving fast cars.,"Er liebt es, schnelle Autos zu fahren."
We are planning a family trip.,Wir planen eine Familienreise.
The cat is very playful.,Die Katze ist sehr verspielt.
She is watching a comedy show.,Sie sieht eine Comedy-Show.
He is learning to cook pasta.,Er lernt Pasta zu kochen.
I enjoy running in the park.,Ich laufe gerne im Park.
The baby is learning to walk.,Das Baby lernt zu laufen.
They are buying a new house.,Sie kaufen ein neues Haus.
She is reading a travel guide.,Sie liest einen Reiseführer.
He enjoys playing with his dog.,Er spielt gerne mit seinem Hund.
She loves baking fresh bread.,"Sie liebt es, frisches Brot zu backen."
He is reading an interesting article.,Er liest einen interessanten Artikel.
We are cleaning the house today.,Wir putzen heute das Haus.
The children are building sandcastles.,Die Kinder bauen Sandburgen.
She is planning a big event.,Sie plant eine große Veranstaltung.
He is learning to drive now.,Er lernt jetzt Auto zu fahren.
I enjoy eating fresh fruits.,Ich esse gerne frisches Obst.
